Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
Baseline (All On),O3,6,6.952807,8.93363,8.720066,0.4162435
Baseline (All On),SO2,6,0.3297873,5.786711,0.56232387,0.27880567
Baseline (All On),CO,6,0.10075661,0.25414905,0.13381866,0.3493805
Baseline (All On),NO2,6,3.2090368,7.8636346,4.645435,0.4301989
Baseline (All On),PM10,6,9.166111,17.643745,27.637402,0.1882236
Baseline (All On),PM2.5,6,2.4174387,10.009922,5.0071054,0.32411754
Baseline (All On),O3,12,7.0679173,7.6768723,8.936552,0.3951971
Baseline (All On),SO2,12,0.3321106,5.7214146,0.5617564,0.2789812
Baseline (All On),CO,12,0.10155362,0.23928036,0.13464472,0.3413326
Baseline (All On),NO2,12,3.3695426,6.8704643,4.9150968,0.36051542
Baseline (All On),PM10,12,9.115116,17.064638,27.090801,0.21989417
Baseline (All On),PM2.5,12,2.4401393,9.897401,5.031555,0.32072335
Baseline (All On),O3,18,6.8928623,6.3966513,8.798335,0.41954696
Baseline (All On),SO2,18,0.33646867,5.6322513,0.56205153,0.27607012
Baseline (All On),CO,18,0.103989944,0.22365727,0.13676855,0.31245077
Baseline (All On),NO2,18,3.1572533,7.25731,4.581498,0.44032282
Baseline (All On),PM10,18,9.184908,16.721382,26.767168,0.23573512
Baseline (All On),PM2.5,18,2.450379,9.9977665,5.0372934,0.3121093
Baseline (All On),O3,24,6.6515493,8.075818,8.523329,0.460289
Baseline (All On),SO2,24,0.33329883,5.6093426,0.5580856,0.28418052
Baseline (All On),CO,24,0.10280939,0.23205876,0.13535872,0.3231756
Baseline (All On),NO2,24,3.1033978,7.5030937,4.5019007,0.45793223
Baseline (All On),PM10,24,9.340572,16.541548,26.835516,0.2274499
Baseline (All On),PM2.5,24,2.4558437,10.348638,5.04824,0.29822826
Baseline (All On),O3,30,6.8516593,8.597493,8.7822895,0.43182224
Baseline (All On),SO2,30,0.32490832,5.643798,0.55406284,0.29310495
Baseline (All On),CO,30,0.102505974,0.22346573,0.13511464,0.32393503
Baseline (All On),NO2,30,3.1415546,7.036327,4.5712113,0.43996125
Baseline (All On),PM10,30,9.411368,16.756351,27.287813,0.20027536
Baseline (All On),PM2.5,30,2.508956,10.152611,5.0898004,0.27904898
Baseline (All On),O3,36,7.034436,7.791422,9.040206,0.40496254
Baseline (All On),SO2,36,0.3308997,5.5684867,0.5552438,0.28903532
Baseline (All On),CO,36,0.10375128,0.22394226,0.13666598,0.3080501
Baseline (All On),NO2,36,3.2634845,6.565109,4.728352,0.40091938
Baseline (All On),PM10,36,9.649241,16.40311,27.318245,0.19856781
Baseline (All On),PM2.5,36,2.575803,10.040815,5.1666875,0.25682592
Baseline (All On),O3,42,6.78897,7.34175,8.840974,0.43575436
Baseline (All On),SO2,42,0.34461993,5.542802,0.5640615,0.26464504
Baseline (All On),CO,42,0.10387278,0.22528312,0.13642028,0.30152833
Baseline (All On),NO2,42,3.2220879,7.1446652,4.6348186,0.42194378
Baseline (All On),PM10,42,9.75925,16.39715,27.329054,0.20186538
Baseline (All On),PM2.5,42,2.5995905,10.108223,5.2025647,0.24788588
Baseline (All On),O3,48,7.2107396,9.904669,9.290512,0.38137114
Baseline (All On),SO2,48,0.33996862,5.5641546,0.5576249,0.2711947
Baseline (All On),CO,48,0.101983465,0.24702924,0.13452084,0.31679016
Baseline (All On),NO2,48,3.2424412,7.050798,4.679349,0.40968847
Baseline (All On),PM10,48,9.709627,16.303736,26.895342,0.22711414
Baseline (All On),PM2.5,48,2.617218,10.238184,5.207847,0.24364358
